timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478503865.48,0.975607,-1.269207,-0.115691,-0.025408,-0.042526,-0.024495,0.245961,0.954865,-0.166539,-0.001774,-0.018128,-0.003581,19.476868,37.051331,9.945679,,,,,,
,,,,,,,,,,,,,,,,37.392598,-122.003843,10.924927,-1.000000,-1.000000,1478503865.46
,,,,,,,,,,,,,,,,37.391756,-122.011203,10.924927,1.560000,-1.000000,1478503688.00
,,,,,,,,,,,,,,,,37.392598,-122.003843,10.924927,-1.000000,-1.000000,1478503865.48
,,,,,,,,,,,,,,,,37.392598,-122.003843,10.924927,-1.000000,-1.000000,1478503865.48
1478503865.50,0.974899,-1.269092,-0.115070,-0.009631,-0.070249,-0.007332,0.245933,0.954831,-0.166775,0.015282,-0.014432,-0.002888,19.476868,37.051331,9.945679,,,,,,
1478503865.52,0.975381,-1.268788,-0.113623,0.002158,-0.028845,0.004381,0.246254,0.954741,-0.166819,0.005638,-0.006484,0.010493,19.177307,37.201416,10.018311,,,,,,
1478503865.54,0.978059,-1.269227,-0.111518,-0.001847,0.050900,0.007431,0.246352,0.954872,-0.165925,-0.004439,-0.006172,0.023545,18.501099,36.902039,9.788452,,,,,,
1478503865.56,0.980575,-1.269096,-0.110345,0.004561,0.071064,0.015952,0.246872,0.954833,-0.165374,0.000991,-0.008681,0.006759,19.027954,37.200989,10.317261,,,,,,
1478503865.58,0.982571,-1.268709,-0.109500,0.001290,0.047687,0.014906,0.247509,0.954718,-0.165086,0.002262,-0.001913,-0.000045,19.177124,37.051331,10.093506,,,,,,
1478503865.60,0.983178,-1.268618,-0.109264,-0.011556,0.005228,0.001061,0.247682,0.954691,-0.164984,0.002181,0.007666,-0.006800,19.177124,37.051331,10.093506,,,,,,
1478503865.62,0.982788,-1.268864,-0.109406,-0.011559,-0.014954,-0.009554,0.247422,0.954764,-0.164950,-0.001450,0.000604,-0.005369,19.027954,37.200989,10.317261,,,,,,
1478503865.64,0.982376,-1.269049,-0.109469,-0.004119,-0.016045,-0.007382,0.247208,0.954819,-0.164954,0.001419,-0.002502,0.000281,18.951599,36.826416,10.091919,,,,,,
1478503865.66,0.982676,-1.269232,-0.109118,-0.008338,0.009471,0.000008,0.247111,0.954873,-0.164783,-0.001521,-0.008889,0.003864,18.952332,37.126465,10.091797,,,,,,
1478503865.68,0.983530,-1.269079,-0.108735,0.001305,0.032822,0.004284,0.247373,0.954828,-0.164653,0.003817,0.002570,-0.001516,19.177368,37.051086,10.243530,,,,,,
1478503865.70,0.983950,-1.269089,-0.109151,0.003500,0.043454,0.000021,0.247435,0.954831,-0.164544,-0.006224,-0.003964,-0.000312,19.177368,37.051086,10.243530,,,,,,
1478503865.72,0.984162,-1.269166,-0.109689,-0.008215,0.040306,-0.002168,0.247409,0.954853,-0.164451,-0.006412,-0.007939,-0.002282,19.326111,36.826538,9.869751,,,,,,
1478503865.74,0.984928,-1.268796,-0.109708,-0.015688,0.035014,-0.002199,0.247829,0.954744,-0.164456,0.008290,-0.029313,-0.016757,19.477173,37.051147,10.095703,,,,,,
1478503865.76,0.984637,-1.268442,-0.110471,-0.032742,0.035064,-0.000163,0.248062,0.954638,-0.164715,-0.007935,-0.036288,-0.019001,19.026489,36.901550,9.942383,,,,,,
1478503865.78,0.985371,-1.268489,-0.110650,-0.047551,0.078685,0.008204,0.248146,0.954652,-0.164508,-0.017525,-0.035600,-0.021588,19.402649,36.825378,10.620361,,,,,,
1478503865.80,0.985603,-1.268732,-0.112323,-0.077118,0.148948,0.006867,0.247991,0.954724,-0.164323,-0.035192,-0.044827,-0.045348,19.402649,36.825378,10.620361,,,,,,
1478503865.82,0.995194,-1.269629,-0.106252,-0.110019,0.208567,0.020434,0.248837,0.954991,-0.161470,-0.055630,-0.065770,-0.069807,19.252197,36.900879,10.319092,,,,,,
1478503865.84,1.000530,-1.270039,-0.104487,-0.100746,0.211629,0.073699,0.249365,0.955112,-0.159929,-0.079505,-0.057117,-0.077345,19.326355,36.751282,10.094727,,,,,,
1478503865.86,1.012418,-1.269374,-0.096488,-0.071004,0.225315,0.095132,0.251787,0.954915,-0.157290,-0.072237,0.002894,-0.059187,19.026489,36.751282,10.167480,,,,,,
1478503865.88,1.018701,-1.269536,-0.094904,-0.039669,0.268881,0.049458,0.252639,0.954963,-0.155623,-0.067717,0.041436,-0.038636,19.401550,36.600708,10.395264,,,,,,
1478503865.90,1.026542,-1.269924,-0.092189,-0.053108,0.253110,-0.025107,0.253534,0.955078,-0.153446,-0.069071,0.028824,-0.056896,19.401550,36.600708,10.395264,,,,,,
1478503865.92,1.028309,-1.272355,-0.095178,-0.073852,0.254395,-0.113581,0.251816,0.955796,-0.151799,-0.045151,0.022811,-0.054638,18.877319,36.600403,10.766357,,,,,,
1478503865.94,1.031609,-1.275582,-0.096488,-0.060911,0.206604,-0.165598,0.249668,0.956740,-0.149383,-0.060642,-0.012663,-0.045289,18.802124,36.750854,10.540771,,,,,,
1478503865.96,1.026381,-1.280008,-0.103995,-0.079226,0.055785,-0.216570,0.245258,0.958018,-0.148491,-0.057301,-0.031154,-0.044289,18.727600,36.825745,10.615234,,,,,,
1478503865.98,1.022713,-1.284965,-0.105896,-0.125793,-0.187498,-0.231358,0.240656,0.959428,-0.146913,-0.019006,-0.040314,-0.051115,18.728210,36.825256,10.915161,,,,,,
1478503866.00,1.016288,-1.289994,-0.106750,-0.166637,-0.307486,-0.239914,0.235602,0.960833,-0.145914,0.018335,-0.009082,-0.033895,18.728210,36.825256,10.915161,,,,,,
1478503866.02,1.013782,-1.295280,-0.104179,-0.169743,-0.183186,-0.184767,0.230921,0.962285,-0.143817,0.044149,-0.015569,0.004687,18.428528,37.050537,10.837891,,,,,,
1478503866.04,1.020730,-1.301216,-0.097972,-0.123155,0.136880,-0.302088,0.227041,0.963883,-0.139221,0.059336,0.058639,0.075485,18.278015,36.825562,10.836792,,,,,,
1478503866.06,1.013722,-1.308071,-0.108751,-0.030819,0.176082,-0.395316,0.220446,0.965686,-0.137312,0.040235,0.002820,0.055692,18.353577,36.975464,10.912231,,,,,,
1478503866.08,0.997356,-1.315442,-0.127240,-0.001169,0.056981,-0.433294,0.212184,0.967574,-0.137036,0.040043,-0.041106,0.029934,18.278748,37.050476,10.911743,,,,,,
1478503866.10,0.985190,-1.322789,-0.140861,-0.102710,0.064650,-0.375316,0.204571,0.969404,-0.135674,0.040912,-0.149656,0.082833,18.278748,37.050476,10.911743,,,,,,
