timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478503696.67,0.391002,-0.264109,1.859461,0.079611,0.020609,-0.091350,0.367900,0.261049,-0.892470,-0.067455,0.022978,-0.000612,5.013306,-8.616882,-39.714844,,,,,,
,,,,,,,,,,,,,,,,37.391756,-122.011203,10.924927,1.560000,-1.000000,1478503688.00
,,,,,,,,,,,,,,,,37.391756,-122.011203,10.924927,1.560000,-1.000000,1478503680.00
1478503696.69,0.391142,-0.263334,1.857049,0.079621,0.031233,-0.087108,0.368102,0.260301,-0.892605,-0.048766,-0.004426,-0.024539,4.488770,-8.617004,-39.493774,,,,,,
,,,,,,,,,,,,,,,,37.391756,-122.011203,10.924927,1.560000,-1.000000,1478503688.00
1478503696.71,0.390939,-0.262381,1.855185,0.080390,0.013091,-0.049818,0.368015,0.259381,-0.892909,-0.039463,-0.015286,-0.009053,4.563721,-8.692200,-39.418213,,,,,,
1478503696.73,0.390491,-0.261185,1.853857,0.070660,-0.012408,-0.041317,0.367733,0.258226,-0.893360,-0.042080,-0.002046,-0.017635,4.712830,-8.766785,-39.717041,,,,,,
,,,,,,,,,,,,,,,,37.391785,-122.010946,10.924927,-1.000000,-1.000000,1478503696.74
1478503696.75,0.390243,-0.260914,1.852410,0.023011,0.018629,-0.070368,0.367538,0.257964,-0.893516,-0.057144,0.001802,0.004951,4.636963,-9.216858,-39.642456,,,,,,
,,,,,,,,,,,,,,,,37.391814,-122.010699,10.924927,-1.000000,-1.000000,1478503696.75
1478503696.77,0.390923,-0.261344,1.850825,0.004125,0.078249,-0.083336,0.368103,0.258379,-0.893163,-0.060913,-0.002336,0.011098,4.636963,-9.216858,-39.642456,,,,,,
1478503696.79,0.392146,-0.262052,1.849255,-0.005477,0.076152,-0.082321,0.369125,0.259063,-0.892543,-0.053268,-0.010666,-0.014577,4.788574,-8.767395,-39.341431,,,,,,
1478503696.81,0.393053,-0.262591,1.847820,0.010347,0.062249,-0.065181,0.369881,0.259584,-0.892079,-0.040017,-0.012361,-0.016888,4.789124,-8.692566,-39.191528,,,,,,
