timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
,,,,,,,,,,,,,,,,37.392598,-122.003842,10.474915,-1.000000,-1.000000,1478503272.67
1478503419.57,-0.812509,1.380103,-1.998266,-0.007221,0.077594,0.000590,-0.137609,-0.981873,-0.130343,-0.003962,-0.000289,0.005938,-15.476929,-33.016052,-16.831421,,,,,,
,,,,,,,,,,,,,,,,37.391947,-122.011798,10.474915,0.620000,301.640625,1478503124.00
,,,,,,,,,,,,,,,,37.392598,-122.003842,10.474915,-1.000000,-1.000000,1478503272.67
1478503419.59,-0.810566,1.380169,-1.999140,-0.003052,0.036133,-0.007841,-0.137308,-0.981886,-0.130565,0.004801,-0.000231,-0.001759,-15.252136,-33.166260,-16.754517,,,,,,
1478503419.61,-0.808193,1.380402,-2.001538,0.006275,-0.024510,-0.000248,-0.136832,-0.981930,-0.130732,0.013206,0.003689,-0.008367,-15.326355,-32.791138,-16.830322,,,,,,
1478503419.63,-0.807811,1.380550,-2.002723,0.012587,-0.048980,-0.001241,-0.136677,-0.981958,-0.130684,0.007252,0.008661,-0.006905,-15.475647,-32.866760,-16.381348,,,,,,
,,,,,,,,,,,,,,,,37.392598,-122.003842,10.474915,-1.000000,-1.000000,1478503419.63
1478503419.65,-0.809533,1.380644,-2.001953,0.019012,-0.044743,-0.004405,-0.136835,-0.981975,-0.130385,-0.005224,0.001888,-0.004030,-15.701111,-32.941345,-16.533081,,,,,,
,,,,,,,,,,,,,,,,37.392598,-122.003842,10.474915,-1.000000,-1.000000,1478503419.64
1478503419.67,-0.811572,1.380450,-2.000573,0.014789,-0.027725,-0.001259,-0.137239,-0.981939,-0.130237,-0.012098,-0.003550,-0.007703,-15.701111,-32.941345,-16.533081,,,,,,
1478503419.69,-0.813315,1.380187,-1.999138,0.008414,-0.009644,0.006132,-0.137654,-0.981889,-0.130175,-0.010647,-0.003005,-0.005766,-15.775879,-32.716064,-16.683716,,,,,,
1478503419.71,-0.815142,1.379848,-1.997232,0.002077,0.013758,0.010321,-0.138133,-0.981825,-0.130151,-0.008412,-0.006121,-0.000968,-15.252441,-33.166077,-16.904541,,,,,,
1478503419.73,-0.816147,1.379439,-1.995596,-0.006304,0.042502,0.003846,-0.138557,-0.981747,-0.130288,-0.013039,-0.007236,0.001733,-15.626709,-32.940979,-16.832520,,,,,,
1478503419.75,-0.815400,1.379050,-1.995236,-0.006267,0.062692,0.009139,-0.138738,-0.981673,-0.130653,-0.002284,-0.005708,-0.003060,-15.552490,-33.165894,-16.906860,,,,,,
1478503419.77,-0.813821,1.378967,-1.995538,-0.004119,0.065876,0.008081,-0.138590,-0.981657,-0.130928,0.004786,-0.003832,0.000892,-15.552490,-33.165894,-16.906860,,,,,,
1478503419.79,-0.811627,1.379181,-1.996450,0.004418,0.060542,0.002812,-0.138150,-0.981698,-0.131087,0.013990,-0.001075,-0.000184,-15.402039,-33.015930,-16.905762,,,,,,
1478503419.81,-0.808965,1.379811,-1.998043,0.011897,0.047780,-0.007776,-0.137353,-0.981818,-0.131027,0.008798,-0.014169,0.000641,-15.327454,-33.166016,-16.905151,,,,,,
1478503419.83,-0.807455,1.380623,-1.998518,0.019527,0.055238,-0.031165,-0.136579,-0.981971,-0.130683,0.001097,-0.020989,0.003837,-15.402771,-33.466248,-16.680542,,,,,,
1478503419.85,-0.804588,1.381780,-1.999949,0.018714,0.087175,-0.053573,-0.135385,-0.982190,-0.130286,0.001260,-0.021854,0.004676,-15.401855,-33.091248,-16.680786,,,,,,
1478503419.87,-0.798117,1.383491,-2.004465,0.017843,0.104226,-0.074896,-0.133336,-0.982510,-0.129986,0.015385,-0.023808,0.002560,-15.401855,-33.091248,-16.680786,,,,,,
1478503419.89,-0.789144,1.385633,-2.011599,0.022107,0.084034,-0.086556,-0.130670,-0.982906,-0.129695,0.022134,-0.022907,0.001201,-15.703552,-33.240173,-17.357910,,,,,,
1478503419.91,-0.779099,1.388071,-2.020500,0.024223,0.041539,-0.107775,-0.127677,-0.983352,-0.129295,0.027457,-0.016709,0.001595,-15.253662,-33.465698,-17.129395,,,,,,
1478503419.93,-0.766766,1.390786,-2.033075,0.014467,-0.051940,-0.133240,-0.124219,-0.983842,-0.128937,0.034727,-0.011184,-0.005539,-15.028320,-33.390930,-17.052856,,,,,,
1478503419.95,-0.749982,1.393725,-2.053086,0.004308,-0.234746,-0.144737,-0.120067,-0.984364,-0.128888,0.060039,0.009434,-0.017551,-15.253296,-33.390808,-17.054565,,,,,,
1478503419.97,-0.746114,1.395669,-2.064239,0.006745,-0.430393,-0.132716,-0.118268,-0.984704,-0.127945,0.066968,0.009866,-0.025955,-15.253296,-33.390808,-17.054565,,,,,,
1478503419.99,-0.740836,1.397582,-2.080161,-0.024766,-0.590840,-0.124133,-0.116320,-0.985036,-0.127178,0.054949,0.009145,-0.020527,-14.878296,-33.691528,-16.676514,,,,,,
1478503420.01,-0.740721,1.398059,-2.094638,-0.092793,-0.792663,-0.091200,-0.115988,-0.985118,-0.126844,0.068182,0.014888,-0.018160,-14.953979,-33.916382,-16.751953,,,,,,
1478503420.03,-0.744332,1.397011,-2.109674,-0.142922,-1.002051,-0.028352,-0.117145,-0.984937,-0.127184,0.080066,0.000166,-0.004759,-14.727356,-33.542114,-16.375488,,,,,,
1478503420.05,-0.753588,1.394652,-2.122412,-0.173597,-1.156195,0.020681,-0.119906,-0.984527,-0.127788,0.050646,-0.017243,-0.008306,-15.626099,-33.467468,-15.857178,,,,,,
1478503420.07,-0.766713,1.391487,-2.133103,-0.183444,-1.192347,0.041972,-0.123734,-0.983967,-0.128447,0.016755,-0.020336,0.012923,-15.626099,-33.467468,-15.857178,,,,,,
1478503420.09,-0.778187,1.388581,-2.145618,-0.185460,-1.216737,0.010063,-0.127206,-0.983445,-0.129054,-0.007864,-0.020431,-0.001363,-16.525391,-33.467529,-15.489014,,,,,,
1478503420.11,-0.790013,1.385848,-2.159276,-0.184740,-1.309238,0.013401,-0.130633,-0.982946,-0.129433,0.013277,-0.030772,-0.026009,-16.674805,-33.092224,-15.640259,,,,,,
1478503420.13,-0.804021,1.383093,-2.172792,-0.185091,-1.403863,0.016737,-0.134382,-0.982435,-0.129468,0.030531,-0.037721,-0.040774,-17.048096,-33.168518,-14.668091,,,,,,
1478503420.15,-0.819148,1.380544,-2.186203,-0.167924,-1.438932,-0.022502,-0.138155,-0.981956,-0.129131,0.032137,-0.029350,-0.039235,-17.497192,-32.718018,-14.821655,,,,,,
1478503420.17,-0.830192,1.380207,-2.203372,-0.107244,-1.359195,-0.142575,-0.139817,-0.981893,-0.127820,-0.010589,-0.007197,-0.029712,-17.497192,-32.718018,-14.821655,,,,,,
1478503420.19,-0.833936,1.382394,-2.222752,-0.040398,-1.002021,-0.240685,-0.138703,-0.982305,-0.125852,-0.060912,-0.012217,0.010419,-18.620300,-32.568542,-14.080200,,,,,,
1478503420.21,-0.829107,1.386631,-2.244156,0.017593,-0.717136,-0.325960,-0.135024,-0.983089,-0.123708,-0.082032,-0.014225,0.000920,-18.469421,-32.494263,-13.704102,,,,,,
1478503420.23,-0.817850,1.392994,-2.267340,0.091283,-0.504603,-0.406780,-0.129056,-0.984235,-0.120940,-0.065524,0.003232,-0.007050,-18.319153,-32.719849,-13.327881,,,,,,
1478503420.25,-0.803353,1.400755,-2.291643,0.130984,-0.468539,-0.432165,-0.121788,-0.985578,-0.117491,-0.048287,0.019071,-0.013643,-18.467957,-32.645569,-12.804077,,,,,,
1478503420.27,-0.790823,1.408582,-2.313686,0.158849,-0.467520,-0.458622,-0.114819,-0.986872,-0.113580,-0.051426,0.015620,-0.016990,-18.467957,-32.645569,-12.804077,,,,,,
