timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478503162.15,-0.848242,1.472519,-1.488509,0.037603,-0.029965,-0.027669,-0.073601,-0.995175,-0.064887,-0.015953,0.003857,0.001624,-6.600769,-35.880127,-23.566284,,,,,,
1478503162.17,-0.851613,1.473502,-1.485545,0.040934,-0.016130,-0.041509,-0.073083,-0.995271,-0.063993,-0.001166,0.003327,0.002226,-6.600769,-35.880127,-23.566284,,,,,,
,,,,,,,,,,,,,,,,37.391947,-122.011798,10.474915,0.620000,301.640625,1478503124.00
,,,,,,,,,,,,,,,,37.391947,-122.011798,10.474915,0.620000,301.640625,1478503116.00
,,,,,,,,,,,,,,,,37.391947,-122.011798,10.474915,0.620000,301.640625,1478503124.00
1478503162.19,-0.850116,1.474611,-1.487260,0.029264,-0.002272,-0.041595,-0.072158,-0.995378,-0.063375,-0.000794,-0.001342,-0.003199,-6.449402,-35.730957,-23.040283,,,,,,
1478503162.21,-0.848444,1.475367,-1.488536,0.014348,0.027515,-0.024690,-0.071487,-0.995450,-0.062997,0.001892,-0.000476,-0.002402,-6.001038,-36.105591,-23.411621,,,,,,
,,,,,,,,,,,,,,,,37.392065,-122.011684,10.474915,-1.000000,-1.000000,1478503162.20
,,,,,,,,,,,,,,,,37.392085,-122.011385,10.474915,-1.000000,-1.000000,1478503162.21
1478503162.23,-0.846812,1.475718,-1.489695,0.013176,0.017930,-0.012972,-0.071123,-0.995484,-0.062882,-0.001128,-0.000168,-0.003478,-6.374329,-35.881348,-22.814575,,,,,,
1478503162.25,-0.847896,1.475979,-1.488312,0.003570,0.022204,-0.007709,-0.070996,-0.995508,-0.062633,-0.002262,-0.003851,0.005352,-6.076965,-36.330383,-23.562134,,,,,,
1478503162.27,-0.846975,1.475983,-1.488474,-0.014511,0.043512,-0.000389,-0.070935,-0.995509,-0.062696,-0.003878,-0.015157,0.003218,-6.076965,-36.330383,-23.562134,,,,,,
1478503162.29,-0.846516,1.475706,-1.488263,-0.018856,0.030757,0.005995,-0.071113,-0.995482,-0.062912,-0.004097,-0.009492,0.006485,-6.077148,-36.405396,-23.562134,,,,,,
1478503162.31,-0.847483,1.475518,-1.486827,-0.016744,0.021186,0.003893,-0.071314,-0.995464,-0.062967,-0.006399,-0.013431,0.010110,-5.775574,-35.955872,-23.335083,,,,,,
1478503162.33,-0.848220,1.475520,-1.485733,-0.019901,0.020144,-0.002510,-0.071359,-0.995465,-0.062913,0.000314,-0.002079,0.014237,-6.076965,-36.330383,-23.562134,,,,,,
1478503162.35,-0.848686,1.475917,-1.485146,0.000357,-0.000097,-0.016206,-0.071092,-0.995502,-0.062618,0.002412,0.005237,0.014660,-6.602051,-36.330017,-23.640991,,,,,,
1478503162.37,-0.850282,1.476815,-1.483390,0.016462,0.017941,-0.025726,-0.070520,-0.995587,-0.061915,0.004052,0.002865,0.014353,-6.602051,-36.330017,-23.640991,,,,,,
1478503162.39,-0.851400,1.477503,-1.481699,0.015450,0.032828,-0.025753,-0.070074,-0.995651,-0.061385,-0.008158,-0.010620,0.005141,-6.601868,-36.179871,-23.716187,,,,,,
1478503162.41,-0.852353,1.478021,-1.480115,0.015390,0.032811,-0.016172,-0.069744,-0.995699,-0.060978,-0.002415,-0.006605,0.001988,-5.926453,-36.180542,-23.485962,,,,,,
1478503162.43,-0.851623,1.478322,-1.480239,0.010015,0.026442,-0.011934,-0.069474,-0.995727,-0.060832,-0.000136,-0.005982,-0.002828,-6.526245,-36.105225,-23.490601,,,,,,
1478503162.45,-0.849261,1.478414,-1.482324,0.005681,0.004132,-0.012988,-0.069262,-0.995736,-0.060935,-0.002607,-0.007774,-0.009118,-6.450745,-36.030518,-23.340088,,,,,,
1478503162.47,-0.846393,1.478300,-1.485252,-0.011438,-0.005392,-0.006680,-0.069171,-0.995725,-0.061209,-0.004895,-0.006899,-0.003885,-6.450745,-36.030518,-23.340088,,,,,,
1478503162.49,-0.844155,1.477824,-1.487726,-0.023196,-0.012799,-0.004603,-0.069388,-0.995681,-0.061679,-0.008782,-0.008378,-0.002408,-6.076660,-36.255493,-23.487061,,,,,,
1478503162.51,-0.842029,1.477565,-1.490044,-0.019899,-0.003223,-0.015243,-0.069449,-0.995657,-0.061997,-0.007318,-0.004404,0.004823,-6.150330,-36.106140,-23.037842,,,,,,
1478503162.53,-0.839812,1.477496,-1.492032,-0.015496,0.020169,-0.024833,-0.069363,-0.995651,-0.062197,-0.011601,-0.006074,0.002733,-6.301086,-35.955139,-23.638916,,,,,,
1478503162.55,-0.835571,1.477504,-1.495799,-0.019663,0.027643,-0.035510,-0.069093,-0.995651,-0.062485,-0.009902,-0.009521,0.002976,-6.151917,-36.255249,-23.637695,,,,,,
1478503162.57,-0.831319,1.477988,-1.498396,-0.037628,0.099963,-0.017622,-0.068471,-0.995696,-0.062454,0.010350,-0.028062,0.047745,-6.151917,-36.255249,-23.637695,,,,,,
1478503162.59,-0.817741,1.478771,-1.511005,0.007121,0.033970,-0.055601,-0.067047,-0.995769,-0.062845,0.020630,0.026286,-0.001578,-6.151489,-36.180481,-23.487671,,,,,,
1478503162.61,-0.806649,1.480433,-1.521778,0.025048,0.000936,-0.044811,-0.065151,-0.995920,-0.062439,0.023830,0.002832,0.000061,-5.776245,-35.880188,-23.785034,,,,,,
1478503162.63,-0.799458,1.482125,-1.529616,0.035475,-0.052267,-0.038291,-0.063492,-0.996071,-0.061732,0.017930,-0.001030,-0.001470,-5.851746,-36.030029,-23.860474,,,,,,
1478503162.65,-0.798755,1.483639,-1.531549,0.065288,-0.061926,-0.041308,-0.062368,-0.996204,-0.060724,0.007925,0.001255,-0.004935,-5.550720,-35.880676,-23.558472,,,,,,
1478503162.67,-0.802981,1.484893,-1.528478,0.073733,-0.066223,-0.031674,-0.061725,-0.996313,-0.059592,-0.006451,-0.010737,-0.014016,-5.550720,-35.880676,-23.558472,,,,,,
1478503162.69,-0.812574,1.485416,-1.520518,0.055419,-0.091711,-0.013637,-0.061916,-0.996357,-0.058639,-0.015141,-0.006420,-0.010545,-5.777527,-36.254944,-23.934937,,,,,,
1478503162.71,-0.821078,1.485761,-1.513738,0.054444,-0.084247,-0.024296,-0.062161,-0.996387,-0.057876,-0.015308,-0.002911,-0.014313,-5.776489,-36.255737,-23.409912,,,,,,
1478503162.73,-0.828869,1.486324,-1.507303,0.066328,-0.053437,-0.033855,-0.062196,-0.996434,-0.057011,-0.017867,0.001622,-0.010967,-5.850952,-36.180908,-23.260498,,,,,,
